Date,HomeTeam,AwayTeam,Home_Score,Away_Score,Home_Hits,Away_Hits,Home_Pitchers,Away_Pitchers,Extras,Time of Game,Runs Scored,Total Hits,Pitchers
4/24/15,BAL,BOS,5,7,10,11,5,5,0,209,12,21,10
4/24/15,TAM,TOR,12,3,13,6,3,2,0,149,15,19,5
4/24/15,NYY,NYM,6,1,11,5,2,4,0,153,7,16,6
4/24/15,PHI,ATL,1,0,8,2,2,4,0,154,1,10,6
4/24/15,DET,CLE,1,13,8,15,3,3,0,172,14,23,6
4/24/15,CIN,CHC,3,7,8,9,5,6,1,228,10,17,11
4/24/15,MIA,WAS,3,2,9,6,4,4,0,152,5,15,8
4/24/15,MIL,STL,0,3,5,8,4,3,0,162,3,13,7
4/24/15,COL,SF,6,4,15,12,5,3,0,171,10,27,8
4/24/15,ARI,PIT,1,4,7,7,4,3,0,161,5,14,7
4/24/15,LAA,TEX,3,2,8,3,3,4,0,167,5,11,7
4/24/15,OAK,HOU,4,5,8,11,6,5,1,216,9,19,11
4/24/15,SEA,MIN,2,0,6,5,1,1,0,123,2,11,2
4/24/15,SD,LAD,0,3,6,8,3,4,0,184,3,14,7
4/25/15,TAM,TOR,4,2,9,6,5,4,0,151,6,15,9
4/25/15,BAL,BOS,5,4,11,8,4,3,1,177,9,19,7
4/25/15,DET,CLE,4,1,8,8,3,5,0,178,5,16,8
4/25/15,NYY,NYM,2,8,5,12,3,2,0,165,10,17,5
4/25/15,OAK,HOU,3,9,6,11,2,4,0,175,12,17,6
4/25/15,MIA,WAS,8,0,12,7,3,3,0,155,8,19,6
4/25/15,PHI,ATL,2,5,6,9,4,4,0,147,7,15,8
4/25/15,MIL,STL,3,5,9,9,5,6,0,181,8,18,11
4/25/15,COL,SF,4,5,12,12,7,6,1,232,9,24,13
4/25/15,ARI,PIT,1,2,8,7,3,3,0,172,3,15,6
4/25/15,SD,LAD,8,11,8,13,5,4,0,216,19,21,9
4/25/15,LAA,TEX,4,1,8,8,6,4,0,190,5,16,10
4/25/15,SEA,MIN,5,8,8,10,5,7,0,206,13,18,12
4/26/15,TAM,TOR,5,1,13,5,2,3,0,143,6,18,5
4/26/15,BAL,BOS,18,7,20,9,2,6,0,193,25,29,8
4/26/15,CHW,KC,3,2,8,8,4,4,0,168,5,16,8
4/26/15,DET,CLE,8,6,13,10,4,4,0,181,14,23,8
4/26/15,CIN,CHC,2,5,6,6,4,4,0,166,7,12,8
4/26/15,MIA,WAS,6,2,14,4,4,4,0,160,8,18,8
4/26/15,PHI,ATL,5,4,6,10,4,3,0,158,9,16,7
4/26/15,MIL,STL,6,3,10,13,5,3,0,183,9,23,8
4/26/15,CHW,KC,5,3,6,8,4,4,0,168,8,14,8
4/26/15,LAA,TEX,4,5,15,9,5,5,1,253,9,24,10
4/26/15,OAK,HOU,6,7,7,10,5,4,0,191,13,17,9
4/26/15,SEA,MIN,2,4,6,9,6,4,1,220,6,15,10
4/26/15,SD,LAD,3,1,5,5,3,2,0,150,4,10,5
4/26/15,ARI,PIT,0,8,3,14,5,4,0,198,8,17,9
4/26/15,NYY,NYM,6,4,9,7,6,3,0,165,10,16,9